quarter,number_of_machines
1/06/1994,7770
1/09/1994,8160
1/12/1994,8303
1/03/1995,8699
1/06/1995,8831
1/09/1995,9170
1/12/1995,9298
1/03/1996,9602
1/06/1996,9730
1/09/1996,10070
1/12/1996,11031
1/03/1997,11216
1/06/1997,11619
1/09/1997,11888
1/12/1997,12201
1/03/1998,12608
1/06/1998,12897
1/09/1998,13129
1/12/1998,13273
1/03/1999,13580
1/06/1999,13812
1/06/2000,16396
1/09/2000,17150
1/12/2000,17679
1/03/2001,18650
1/06/2001,19332
1/09/2001,20097
1/12/2001,21012
1/03/2002,21743
1/06/2002,22113
1/09/2002,23002
1/12/2002,24330
1/03/2003,24569
1/06/2003,25221
1/09/2003,23083
1/12/2003,22734
1/03/2004,22646
1/06/2004,22497
1/09/2004,22294
1/12/2004,22231
1/03/2005,22159
1/06/2005,21846
1/09/2005,21684
1/12/2005,21343
1/03/2006,21026
1/06/2006,20739
1/09/2006,20571
1/12/2006,20518
1/03/2007,20302
1/06/2007,20120
1/09/2007,20163
1/12/2007,20182
1/03/2008,20018
1/06/2008,19856
1/09/2008,20025
1/12/2008,19879
1/03/2009,19739
1/06/2009,19479
1/09/2009,19296
1/12/2009,19359
1/03/2010,19115
1/06/2010,18944
1/09/2010,18601
1/12/2010,18681
1/03/2011,18484
1/06/2011,18309
1/09/2011,18167
1/12/2011,18133
1/03/2012,18001
1/06/2012,17943
1/09/2012,17827
1/12/2012,17670
1/03/2013,17542
1/06/2013,17534
1/09/2013,17320
1/12/2013,17266
1/03/2014,17200
1/06/2014,17153
1/09/2014,16814
1/12/2014,16717
1/03/2015,16614
1/06/2015,16579
1/09/2015,16450
1/12/2015,16393
1/03/2016,16274
1/06/2016,16263
1/09/2016,16221
1/12/2016,16148
1/03/2017,16053
1/06/2017,15858
1/09/2017,15717
1/12/2017,15632
1/03/2018,15490
1/06/2018,15420
1/09/2018,15342
1/12/2018,15257
1/03/2019,15118
1/06/2019,15007
1/09/2019,14912
1/12/2019,14856
1/03/2020,14828
1/06/2020,14847
1/09/2020,14754
